Week,Rockets,Water_Shipped_ton,Equipment_Shipped_ton,Total_Shipped_ton,Stock_Level_ton,Recycling_Rate,Recycled_Water_ton,Water_Demand_ton,Cumulative_Rockets,Cumulative_Cost_M,Cumulative_Equipment,Self_Sufficiency
99,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2791.0,139550.0,140.0,0.99
100,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2805.0,140250.0,140.0,0.99
101,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2819.0,140950.0,140.0,0.99
102,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2833.0,141650.0,140.0,0.99
103,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2847.0,142350.0,140.0,0.99
104,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2861.0,143050.0,140.0,0.99
105,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2875.0,143750.0,140.0,0.99
106,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2889.0,144450.0,140.0,0.99
107,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2903.0,145150.0,140.0,0.99
108,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2917.0,145850.0,140.0,0.99
109,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2931.0,146550.0,140.0,0.99
110,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2945.0,147250.0,140.0,0.99
111,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2959.0,147950.0,140.0,0.99
112,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2973.0,148650.0,140.0,0.99
113,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2987.0,149350.0,140.0,0.99
114,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3001.0,150050.0,140.0,0.99
115,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3015.0,150750.0,140.0,0.99
116,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3029.0,151450.0,140.0,0.99
117,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3043.0,152150.0,140.0,0.99
118,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3057.0,152850.0,140.0,0.99
119,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3071.0,153550.0,140.0,0.99
120,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3085.0,154250.0,140.0,0.99
121,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3099.0,154950.0,140.0,0.99
122,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3113.0,155650.0,140.0,0.99
123,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3127.0,156350.0,140.0,0.99
124,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3141.0,157050.0,140.0,0.99
125,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3155.0,157750.0,140.0,0.99
126,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3169.0,158450.0,140.0,0.99
127,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3183.0,159150.0,140.0,0.99
128,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3197.0,159850.0,140.0,0.99
129,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3211.0,160550.0,140.0,0.99
130,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3225.0,161250.0,140.0,0.99
131,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3239.0,161950.0,140.0,0.99
132,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3253.0,162650.0,140.0,0.99
133,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3267.0,163350.0,140.0,0.99
134,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3281.0,164050.0,140.0,0.99
135,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3295.0,164750.0,140.0,0.99
136,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3309.0,165450.0,140.0,0.99
137,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3323.0,166150.0,140.0,0.99
138,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3337.0,166850.0,140.0,0.99
139,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3351.0,167550.0,140.0,0.99
140,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3365.0,168250.0,140.0,0.99
141,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3379.0,168950.0,140.0,0.99
142,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3393.0,169650.0,140.0,0.99
143,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3407.0,170350.0,140.0,0.99
144,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3421.0,171050.0,140.0,0.99
145,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3435.0,171750.0,140.0,0.99
146,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3449.0,172450.0,140.0,0.99
147,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3463.0,173150.0,140.0,0.99
148,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3477.0,173850.0,140.0,0.99
149,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3491.0,174550.0,140.0,0.99
150,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3505.0,175250.0,140.0,0.99
151,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3519.0,175950.0,140.0,0.99
152,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3533.0,176650.0,140.0,0.99
153,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3547.0,177350.0,140.0,0.99
154,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3561.0,178050.0,140.0,0.99
155,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3575.0,178750.0,140.0,0.99
156,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3589.0,179450.0,140.0,0.99
157,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3603.0,180150.0,140.0,0.99
158,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3617.0,180850.0,140.0,0.99
159,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3631.0,181550.0,140.0,0.99
160,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3645.0,182250.0,140.0,0.99
161,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3659.0,182950.0,140.0,0.99
162,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3673.0,183650.0,140.0,0.99
163,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3687.0,184350.0,140.0,0.99
164,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3701.0,185050.0,140.0,0.99
165,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3715.0,185750.0,140.0,0.99
166,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3729.0,186450.0,140.0,0.99
167,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3743.0,187150.0,140.0,0.99
168,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3757.0,187850.0,140.0,0.99
169,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3771.0,188550.0,140.0,0.99
170,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3785.0,189250.0,140.0,0.99
171,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3799.0,189950.0,140.0,0.99
172,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3813.0,190650.0,140.0,0.99
173,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3827.0,191350.0,140.0,0.99
174,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3841.0,192050.0,140.0,0.99
175,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3855.0,192750.0,140.0,0.99
176,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3869.0,193450.0,140.0,0.99
177,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3883.0,194150.0,140.0,0.99
178,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3897.0,194850.0,140.0,0.99
179,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3911.0,195550.0,140.0,0.99
180,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3925.0,196250.0,140.0,0.99
181,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3939.0,196950.0,140.0,0.99
182,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3953.0,197650.0,140.0,0.99
183,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3967.0,198350.0,140.0,0.99
184,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3981.0,199050.0,140.0,0.99
185,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,3995.0,199750.0,140.0,0.99
186,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4009.0,200450.0,140.0,0.99
187,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4023.0,201150.0,140.0,0.99
188,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4037.0,201850.0,140.0,0.99
189,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4051.0,202550.0,140.0,0.99
190,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4065.0,203250.0,140.0,0.99
191,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4079.0,203950.0,140.0,0.99
192,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4093.0,204650.0,140.0,0.99
193,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4107.0,205350.0,140.0,0.99
194,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4121.0,206050.0,140.0,0.99
195,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4135.0,206750.0,140.0,0.99
196,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4149.0,207450.0,140.0,0.99
197,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4163.0,208150.0,140.0,0.99
198,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4177.0,208850.0,140.0,0.99
199,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4191.0,209550.0,140.0,0.99
200,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4205.0,210250.0,140.0,0.99
201,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4219.0,210950.0,140.0,0.99
202,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4233.0,211650.0,140.0,0.99
203,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4247.0,212350.0,140.0,0.99
204,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4261.0,213050.0,140.0,0.99
205,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4275.0,213750.0,140.0,0.99
206,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4289.0,214450.0,140.0,0.99
207,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4303.0,215150.0,140.0,0.99
208,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4317.0,215850.0,140.0,0.99
209,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4331.0,216550.0,140.0,0.99
210,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4345.0,217250.0,140.0,0.99
211,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4359.0,217950.0,140.0,0.99
212,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4373.0,218650.0,140.0,0.99
213,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4387.0,219350.0,140.0,0.99
214,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4401.0,220050.0,140.0,0.99
215,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4415.0,220750.0,140.0,0.99
216,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4429.0,221450.0,140.0,0.99
217,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4443.0,222150.0,140.0,0.99
218,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4457.0,222850.0,140.0,0.99
219,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4471.0,223550.0,140.0,0.99
220,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4485.0,224250.0,140.0,0.99
221,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4499.0,224950.0,140.0,0.99
222,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4513.0,225650.0,140.0,0.99
223,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4527.0,226350.0,140.0,0.99
224,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4541.0,227050.0,140.0,0.99
225,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4555.0,227750.0,140.0,0.99
226,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4569.0,228450.0,140.0,0.99
227,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4583.0,229150.0,140.0,0.99
228,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4597.0,229850.0,140.0,0.99
229,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4611.0,230550.0,140.0,0.99
230,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4625.0,231250.0,140.0,0.99
231,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4639.0,231950.0,140.0,0.99
232,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4653.0,232650.0,140.0,0.99
233,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4667.0,233350.0,140.0,0.99
234,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4681.0,234050.0,140.0,0.99
235,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4695.0,234750.0,140.0,0.99
236,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4709.0,235450.0,140.0,0.99
237,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4723.0,236150.0,140.0,0.99
238,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4737.0,236850.0,140.0,0.99
239,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4751.0,237550.0,140.0,0.99
240,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4765.0,238250.0,140.0,0.99
241,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4779.0,238950.0,140.0,0.99
242,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,4793.0,239650.0,140.0,0.99
