YearIndex,Rocket_Launches,Rocket_Flow_wan_ton,Elevator_Flow_wan_ton,Total_Flow_wan_ton,E_Rocket_tCO2e,E_Elevator_tCO2e,E_Total_tCO2e,E_Limit_tCO2e,Slack_tCO2e,Cum_Flow_wan_ton
92,462.0,6.93,53.699999999999996,60.629999999999995,231000.0,5370.0,236370.0,236434.1085271318,0.0,6954.970000000106
93,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,237054.26356589148,768315.7364341086,7038.670000000106
94,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,237674.41860465117,767695.5813953488,7122.370000000105
95,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,238294.57364341084,767075.4263565892,7206.070000000105
96,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,238914.72868217053,766455.2713178295,7289.770000000105
97,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,239534.88372093023,765835.1162790698,7373.470000000105
98,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,240155.03875968992,765214.9612403101,7457.170000000105
99,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,240775.19379844962,764594.8062015504,7540.8700000001045
100,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,241395.34883720928,763974.6511627907,7624.570000000104
101,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,242015.50387596898,763354.496124031,7708.270000000104
102,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,242635.65891472867,762734.3410852713,7791.970000000104
103,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,243255.81395348837,762114.1860465116,7875.670000000104
104,477.0,7.154999999999999,53.699999999999996,60.855,238500.0,5370.0,243870.0,243875.96899224806,0.0,7936.525000000103
105,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,244496.12403100776,760873.8759689922,8020.225000000103
106,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,245116.27906976745,760253.7209302326,8103.925000000103
107,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,245736.43410852714,759633.5658914729,8187.625000000103
108,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,246356.58914728684,759013.4108527132,8271.325000000103
109,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,246976.7441860465,758393.2558139535,8355.025000000103
110,484.0,7.26,53.699999999999996,60.959999999999994,242000.0,5370.0,247370.0,247596.8992248062,0.0,8415.985000000102
111,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,248217.0542635659,757152.9457364341,8499.685000000103
112,486.0,7.29,53.699999999999996,60.989999999999995,243000.0,5370.0,248370.0,248837.20930232556,0.0,8560.675000000103
113,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,249457.36434108525,755912.6356589147,8644.375000000104
114,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,250077.51937984495,755292.4806201551,8728.075000000104
115,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,250697.67441860464,754672.3255813953,8811.775000000105
116,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,251317.82945736434,754052.1705426357,8895.475000000106
117,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,251937.98449612403,753432.0155038759,8979.175000000107
118,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,252558.13953488372,752811.8604651163,9062.875000000107
119,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,253178.29457364342,752191.7054263565,9146.575000000108
120,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,253798.4496124031,751571.550387597,9230.275000000109
121,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,254418.60465116278,750951.3953488372,9313.97500000011
122,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,255038.75968992247,750331.2403100776,9397.67500000011
123,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,255658.91472868217,749711.0852713179,9481.375000000111
124,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,256279.06976744186,749090.9302325582,9565.075000000112
125,503.0,7.545,53.699999999999996,61.245,251500.0,5370.0,256870.0,256899.22480620153,0.0,9626.320000000112
126,504.0,7.56,53.699999999999996,61.26,252000.0,5370.0,257370.0,257519.37984496122,0.0,9687.580000000113
127,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,258139.53488372092,747230.4651162791,9771.280000000113
128,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,258759.6899224806,746610.3100775194,9854.980000000114
129,508.0,7.62,53.699999999999996,61.31999999999999,254000.0,5370.0,259370.0,259379.8449612403,0.0,9916.300000000114
130,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,260000.0,745370.0,10000.000000000115
